avg_salary,Rating,Size,Industry,Sector,Revenue,Type of ownership,job_state,hourly,python_yn,R_yn,spark,aws,excel,company_age,job_title_group,job_seniority,sql_yn,tableau_yn
89.5,3.7,10000+ employees,IT Services,Information Technology,$10+ billion (USD),Company - Public,VA,0,1,0,1,0,0,62.0,machine_learning,senior,1,1
81.0,4.4,201 to 500 employees,Consulting,Business Services,$50 to $100 million (USD),Company - Private,IL,0,1,0,0,1,1,12.0,data_scientist,mid,1,1
147.0,4.0,501 to 1000 employees,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),Company - Private,VA,0,1,0,0,1,0,8.0,data_scientist,senior,0,0
85.0,3.2,1001 to 5000 employees,Brokerage Services,Finance,$100 to $500 million (USD),Company - Private,TX,0,1,0,0,0,1,62.0,data_scientist,mid,1,1
81.5,2.9,1001 to 5000 employees,Consumer Products Manufacturing,Manufacturing,$1 to $2 billion (USD),Company - Private,CA,0,0,0,0,0,1,49.0,data_scientist,entry,0,0
168.0,3.8,1001 to 5000 employees,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$500 million to $1 billion (USD),Company - Public,CA,0,0,0,0,0,1,23.0,data_scientist,mid,0,0
100.5,4.3,1 to 50 employees,Aerospace & Defense,Aerospace & Defense,Unknown,Company - Private,CO,0,1,0,1,1,1,13.0,machine_learning,mid,0,0
97.0,3.4,1001 to 5000 employees,Consulting,Business Services,$100 to $500 million (USD),Company - Private,NY,0,1,0,1,0,1,77.0,data_engineer,mid,1,1
132.5,5.0,51 to 200 employees,IT Services,Information Technology,Unknown,Company - Private,FL,0,0,0,0,0,0,3.0,data_engineer,mid,0,0
100.0,4.3,51 to 200 employees,Computer Hardware & Software,Information Technology,$10 to $25 million (USD),Company - Private,IL,0,0,0,1,0,1,12.0,data_engineer,mid,1,0
105.0,3.7,201 to 500 employees,Travel Agencies,Travel & Tourism,Unknown,Company - Private,CO,0,1,0,0,0,0,9.0,data_scientist,senior,1,0
87.0,4.2,10000+ employees,Religious Organizations,Non-Profit,Unknown,Nonprofit Organization,UT,0,0,0,0,1,1,25.0,data_engineer,mid,0,0
103.5,4.3,51 to 200 employees,Real Estate,Real Estate,Unknown,Company - Private,CA,0,0,0,0,0,1,7.0,data_analyst,mid,1,0
124.0,2.6,501 to 1000 employees,Colleges & Universities,Education,Unknown,College / University,PA,0,1,0,0,0,1,36.0,research_scientist,senior,0,0
67.0,3.8,1001 to 5000 employees,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD),Government,WA,0,1,0,0,0,0,55.0,data_scientist,mid,0,0
87.0,3.9,10000+ employees,IT Services,Information Technology,$2 to $5 billion (USD),Company - Private,DC,0,0,0,0,0,0,20.0,data_engineer,mid,0,0
137.5,4.3,201 to 500 employees,Enterprise Software & Network Solutions,Information Technology,Unknown,Company - Private,IL,0,1,0,1,1,1,9.0,data_engineer,mid,0,0
100.0,3.8,201 to 500 employees,Advertising & Marketing,Business Services,$100 to $500 million (USD),Company - Private,OH,0,1,0,0,0,1,33.0,data_scientist,lead,1,0
106.5,3.8,5001 to 10000 employees,Insurance Carriers,Insurance,$5 to $10 billion (USD),Nonprofit Organization,TN,0,0,0,0,0,1,75.0,data_engineer,mid,1,1
98.5,3.8,1001 to 5000 employees,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD),Government,WA,0,0,0,0,0,0,55.0,data_scientist,senior,0,0
61.0,4.8,501 to 1000 employees,Security Services,Business Services,$100 to $500 million (USD),Company - Private,FL,0,1,0,0,0,1,10.0,data_analyst,senior,1,0
106.5,4.4,51 to 200 employees,Consulting,Business Services,Unknown,Company - Private,IN,0,1,0,1,1,0,12.0,data_engineer,senior,1,0
84.5,3.9,51 to 200 employees,Internet,Information Technology,Unknown,Company - Private,MA,0,1,0,1,0,0,15.0,data_engineer,mid,1,0
109.5,3.4,1001 to 5000 employees,Consumer Products Manufacturing,Manufacturing,$2 to $5 billion (USD),Company - Public,NJ,0,1,0,0,0,1,174.0,leadership,mid,0,1
164.0,3.6,5001 to 10000 employees,Insurance Carriers,Insurance,$10+ billion (USD),Company - Private,MA,0,1,0,1,1,0,169.0,data_scientist,lead,1,0
169.0,3.9,10000+ employees,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),Subsidiary or Business Segment,CA,0,1,0,1,0,1,44.0,data_scientist,senior,1,0
142.0,3.8,5001 to 10000 employees,Telecommunications Services,Telecommunications,$2 to $5 billion (USD),Company - Public,CA,0,1,0,1,1,1,24.0,data_scientist,senior,0,0
